gene	WT	KO
Pard3b	0.224679	0.372867
Gas5	57.0963	63.3652
Pcdh15	0	0
Ebf1	46.5395	55.1531
Mir142	3.89444	7.45734
9330111N05Rik	0.129033	0.0926557
Airn	0.359409	0.293049
H2-Q8	54.0307	52.7524
Frmd4a	0	0
Abl1	10.5989	14.4359
C130080G10Rik	0	0
Nkx2-2as	0	0
Sox2ot	0.00481241	0
Gm7819	1.59456	0.86213
Speer7-ps1	0	0
9530026P05Rik	0.030416	0
Gm10319	0	0
E330012B07Rik	0	0
1700049E15Rik	0	0
Mtap4	9.06716	9.02305
9530059O14Rik	0	0.0292042
Rmst	0.0161354	0.0185383
2610035D17Rik	0.587563	0.472544
1700121N20Rik	0	0
4933406K04Rik	0	0
Snord83b	156.44	127.949
Trmt61b	1.23317	1.54861
Malat1	2017.31	2332.85
Neat1	87.2972	96.9935
1500017E21Rik	0.0731166	0.048003
Bbip1	19.1654	25.0238
Gm14005	2.94543	3.38406
Snord17	93.0302	117.513
0610008F07Rik	0	0.100057
Vmn2r-ps11	0	0
Lingo2	0.00988711	0
Gm11213	0	0.0992245
Cux2	0.119295	0.07151
Snord15b	65.8921	59.5764
6820431F20Rik	55.4222	71.4911
6720401G13Rik	1.64546	2.78601
Lpar1	0	0.244811
Dtna	0.00441499	0.0710147
Cgnl1	0.132396	0.578029
Hmgcll1	0.140232	0.578553
Reln	0.525407	2.00816
Phospho1	5.52331	18.3275
Slc15a2	3.32438	9.8372
Col4a4	0.389444	0.0860462
Leprel1	0.212113	0.0128264
Hs3st3a1	0.200374	0
