gene	WT	KO
Gas5	57.0963	63.3652
9330111N05Rik	0.129033	0.0926557
Airn	0.359409	0.293049
H2-Q8	54.0307	52.7524
Frmd4a	0	0
C130080G10Rik	0	0
Nkx2-2as	0	0
Sox2ot	0.00481241	0
Gm7819	1.59456	0.86213
Speer7-ps1	0	0
9530026P05Rik	0.030416	0
Gm10319	0	0
E330012B07Rik	0	0
1700049E15Rik	0	0
9530059O14Rik	0	0.0292042
Rmst	0.0161354	0.0185383
2610035D17Rik	0.587563	0.472544
1700121N20Rik	0	0
4933406K04Rik	0	0
Trmt61b	1.23317	1.54861
Malat1	2017.31	2332.85
Neat1	87.2972	96.9935
1500017E21Rik	0.0731166	0.048003
Bbip1	19.1654	25.0238
Gm14005	2.94543	3.38406
0610008F07Rik	0	0.100057
Gm11213	0	0.0992245
6820431F20Rik	55.4222	71.4911
6720401G13Rik	1.64546	2.78601
