Gm25679	ENSMUSG00000096659.1
Gm9958	ENSMUSG00000054945.3
Gm9791	ENSMUSG00000044434.5
Gm9670	ENSMUSG00000082383.2
Gm9506	ENSMUSG00000081086.1
Gm9320	ENSMUSG00000100865.1
Gm9134	ENSMUSG00000104218.1
Gm9025	ENSMUSG00000082433.2
Gm8828	ENSMUSG00000105727.1
Gm8818	ENSMUSG00000079138.3
Gm8806	ENSMUSG00000083367.1
Gm8508	ENSMUSG00000049477.5
Gm8407	ENSMUSG00000103964.1
Gm7984	ENSMUSG00000049891.3
Gm7327	ENSMUSG00000050900.5
Gm7308	ENSMUSG00000081113.1
Gm7099	ENSMUSG00000060647.1
Gm6964	ENSMUSG00000081212.1
Gm6900	ENSMUSG00000093826.1
Gm6829	ENSMUSG00000083670.1
Gm6682	ENSMUSG00000091269.1
Gm6265	ENSMUSG00000066491.4
Gm6158	ENSMUSG00000090381.1
Gm6142	ENSMUSG00000084304.1
Gm6104	ENSMUSG00000062588.4
Gm5900	ENSMUSG00000094685.1
Gm5881	ENSMUSG00000107747.1
Gm5751	ENSMUSG00000079697.1
Gm5670	ENSMUSG00000059827.5
Gm5555	ENSMUSG00000083477.2
Gm5552	ENSMUSG00000106558.1
Gm5529	ENSMUSG00000067106.6
Gm5436	ENSMUSG00000042962.4
Gm5422	ENSMUSG00000039684.8
Gm5228	ENSMUSG00000084288.1
Gm4895	ENSMUSG00000044268.4
Gm4540	ENSMUSG00000092072.3
Gm44418	ENSMUSG00000108006.1
Gm44378	ENSMUSG00000106312.1
Gm44351	ENSMUSG00000106151.1
Gm44282	ENSMUSG00000107628.1
Gm44258	ENSMUSG00000107759.1
Gm44148	ENSMUSG00000107736.1
Gm44085	ENSMUSG00000107969.1
Gm44051	ENSMUSG00000107799.1
Gm43852	ENSMUSG00000106680.1
Gm43825	ENSMUSG00000105130.1
Gm43807	ENSMUSG00000107048.1
Gm43651	ENSMUSG00000105992.1
Gm43147	ENSMUSG00000105871.1
Gm42990	ENSMUSG00000106434.1
Gm42929	ENSMUSG00000106022.1
Gm42509	ENSMUSG00000105042.1
Gm42477	ENSMUSG00000106967.1
Gm4246	ENSMUSG00000092240.1
Gm4189	ENSMUSG00000092384.7
Gm4149	ENSMUSG00000074800.3
Gm3837	ENSMUSG00000102824.1
Gm38243	ENSMUSG00000103748.1
Gm38158	ENSMUSG00000103367.1
Gm38109	ENSMUSG00000103075.1
Gm38074	ENSMUSG00000103911.1
Gm38053	ENSMUSG00000103584.1
Gm37733	ENSMUSG00000103227.1
Gm37655	ENSMUSG00000102451.1
Gm37646	ENSMUSG00000103191.1
Gm3756	ENSMUSG00000091639.1
Gm37289	ENSMUSG00000102630.1
Gm37027	ENSMUSG00000104077.1
Gm36936	ENSMUSG00000102411.1
Gm36932	ENSMUSG00000103774.1
Gm35648	ENSMUSG00000107079.1
Gm32569	ENSMUSG00000103659.1
Gm31728	ENSMUSG00000102923.1
Gm3150	ENSMUSG00000096173.2
Gm29481	ENSMUSG00000100781.1
Gm29264	ENSMUSG00000100465.1
Gm29233	ENSMUSG00000101859.1
Gm29228	ENSMUSG00000101682.1
Gm28777	ENSMUSG00000100763.1
Gm28277	ENSMUSG00000100620.1
Gm28069	ENSMUSG00000101082.1
Gm27934	ENSMUSG00000089420.2
Gm27926	ENSMUSG00000087805.2
Gm27805	ENSMUSG00000099155.1
Gm27702	ENSMUSG00000098865.1
Gm27663	ENSMUSG00000098514.1
Gm27653	ENSMUSG00000098750.1
Gm27651	ENSMUSG00000098755.1
Gm27639	ENSMUSG00000098940.1
Gm27564	ENSMUSG00000099074.1
Gm27514	ENSMUSG00000098268.1
Gm2735	ENSMUSG00000085116.1
Gm27244	ENSMUSG00000098800.1
Gm26968	ENSMUSG00000097942.1
Gm26681	ENSMUSG00000097818.1
Gm26632	ENSMUSG00000097442.1
Gm26594	ENSMUSG00000097189.1
Gm26464	ENSMUSG00000087719.1
Gm26461	ENSMUSG00000092805.2
Gm26440	ENSMUSG00000064525.1
Gm26419	ENSMUSG00000077460.1
Gm26403	ENSMUSG00000089125.1
Gm26372	ENSMUSG00000088456.1
Gm26359	ENSMUSG00000089498.1
Gm26357	ENSMUSG00000088843.1
Gm26316	ENSMUSG00000065820.1
Gm26315	ENSMUSG00000065824.1
Gm26254	ENSMUSG00000084440.1
Gm26251	ENSMUSG00000084447.1
Gm26244	ENSMUSG00000095616.1
Gm26189	ENSMUSG00000095068.1
Gm26180	ENSMUSG00000093967.1
Gm26147	ENSMUSG00000077667.1
Gm26143	ENSMUSG00000077668.1
Gm26116	ENSMUSG00000093341.2
Gm26110	ENSMUSG00000065905.1
Gm26102	ENSMUSG00000087876.1
Gm26058	ENSMUSG00000094367.1
Gm26035	ENSMUSG00000064999.1
Gm26027	ENSMUSG00000084674.1
Gm25993	ENSMUSG00000093132.1
Gm25992	ENSMUSG00000076392.1
Gm25970	ENSMUSG00000087790.1
Gm25899	ENSMUSG00000064606.1
Gm25897	ENSMUSG00000065643.1
Gm25862	ENSMUSG00000088875.1
Gm25827	ENSMUSG00000087714.1
Gm25813	ENSMUSG00000064682.1
Gm25716	ENSMUSG00000089253.1
Gm25654	ENSMUSG00000089092.1
Gm25628	ENSMUSG00000065936.1
Gm25561	ENSMUSG00000077795.1
Gm25497	ENSMUSG00000077613.1
Gm25492	ENSMUSG00000088008.1
Gm25483	ENSMUSG00000065158.1
Gm25436	ENSMUSG00000088900.1
Gm25346	ENSMUSG00000077697.1
Gm25341	ENSMUSG00000088086.1
Gm25313	ENSMUSG00000095738.1
Gm25291	ENSMUSG00000084744.1
Gm25290	ENSMUSG00000084745.1
Gm25152	ENSMUSG00000087742.1
Gm25148	ENSMUSG00000077799.1
Gm25117	ENSMUSG00000087819.1
Gm25106	ENSMUSG00000084621.1
Gm25104	ENSMUSG00000084425.1
Gm25076	ENSMUSG00000095477.1
Gm25071	ENSMUSG00000092973.1
Gm25059	ENSMUSG00000087992.1
Gm24992	ENSMUSG00000088037.1
Gm24959	ENSMUSG00000088549.1
Gm24936	ENSMUSG00000084547.1
Gm24924	ENSMUSG00000094306.1
Gm24918	ENSMUSG00000064956.1
Gm24875	ENSMUSG00000089513.1
Gm24845	ENSMUSG00000088659.1
Gm24837	ENSMUSG00000089308.1
Gm24776	ENSMUSG00000088268.1
Gm24741	ENSMUSG00000089482.1
Gm24722	ENSMUSG00000096415.1
Gm24620	ENSMUSG00000064558.1
Gm24610	ENSMUSG00000065204.1
Gm24596	ENSMUSG00000084453.1
Gm24557	ENSMUSG00000077884.2
Gm24514	ENSMUSG00000092702.2
Gm24498	ENSMUSG00000089070.1
Gm24468	ENSMUSG00000077677.1
Gm24465	ENSMUSG00000096085.1
Gm24447	ENSMUSG00000065911.1
Gm24407	ENSMUSG00000094377.1
Gm24384	ENSMUSG00000084642.1
Gm24305	ENSMUSG00000095590.1
Gm24303	ENSMUSG00000095596.1
Gm24281	ENSMUSG00000077422.1
Gm24265	ENSMUSG00000096243.1
Gm2423	ENSMUSG00000061724.4
Gm24193	ENSMUSG00000080451.1
Gm24146	ENSMUSG00000064694.1
Gm24145	ENSMUSG00000064565.1
Gm24142	ENSMUSG00000096163.1
Gm24106	ENSMUSG00000093239.1
Gm24105	ENSMUSG00000092674.2
Gm24059	ENSMUSG00000088118.1
Gm24049	ENSMUSG00000076364.1
Gm24044	ENSMUSG00000065041.1
Gm24003	ENSMUSG00000089080.1
Gm23973	ENSMUSG00000065254.1
Gm23971	ENSMUSG00000065251.1
Gm23951	ENSMUSG00000077217.1
Gm23946	ENSMUSG00000077611.1
Gm23939	ENSMUSG00000064814.1
Gm23876	ENSMUSG00000077004.1
Gm23850	ENSMUSG00000065764.1
Gm23802	ENSMUSG00000093306.1
Gm23692	ENSMUSG00000075829.1
Gm23686	ENSMUSG00000096391.1
Gm23640	ENSMUSG00000088485.1
Gm23638	ENSMUSG00000092814.1
